Crop_Name,Soil_Type,Rainfall_Requirement,Temperature_Range,Previous_Crop,Next_Crop,Month_Planted,Month_Harvested,Growth_Duration,Region
Rice,Black,600-1100 mm,21 - 32°C,Millets,Pulses,June-July,September-October,138 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,20 - 44°C,Ragi,Pulses,June-July,September-October,128 days,Karnataka
Rice,Black,600-1100 mm,18 - 41°C,Pulses,Pulses,June-July,September-October,158 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,28 - 36°C,Lentils,Pulses,October-December,March-April,160 days,Uttar Pradesh
Jowar,Black,600-1100 mm,30 - 30°C,Bengal Gram,Bengal Gram,October-December,March-April,171 days,Telangana
Cotton,Black,600-1100 mm,28 - 35°C,Maize,Rice,October-December,March-April,141 days,Andhra Pradesh
Jowar,Red,400-1000 mm,24 - 30°C,Red Gram,Jowar,October-December,March-April,173 days,Telangana
Millets,Red,400-1000 mm,19 - 43°C,Groundnut,Pulses,October-December,March-April,134 days,Karnataka
Jowar,Black,600-1100 mm,15 - 44°C,Ragi,Wheat,June-July,September-October,146 days,Karnataka
Sugarcane,Black,600-1100 mm,19 - 35°C,Groundnut,Jowar,October-December,March-April,94 days,Karnataka
Pulses,Red,400-1000 mm,19 - 43°C,Sugarcane,Sugarcane,October-December,March-April,148 days,Tamil Nadu
Rice,Black,600-1100 mm,26 - 34°C,Cotton,Rice,March-May,June-July,141 days,Telangana
Rice,Alluvial,500-1500 mm,22 - 43°C,Pulses,Barley,June-July,September-October,131 days,Uttar Pradesh
Rice,Black,600-1100 mm,18 - 34°C,Pulses,Pulses,June-July,September-October,176 days,Karnataka
Tea,Laterite,1500-3000 mm,19 - 41°C,Pulses,Rice,March-May,June-July,122 days,Tamil Nadu
Groundnut,Red,400-1000 mm,29 - 42°C,Millets,Sugarcane,October-December,March-April,140 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,17 - 41°C,Pulses,Sugarcane,March-May,June-July,137 days,Tamil Nadu
Groundnut,Red,400-1000 mm,28 - 32°C,Pulses,Pulses,October-December,March-April,155 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,23 - 36°C,Pulses,Groundnut,June-July,September-October,167 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,22 - 31°C,Groundnut,Sugarcane,June-July,September-October,105 days,Tamil Nadu
Pulses,Red,400-1000 mm,24 - 43°C,Bengal Gram,Bengal Gram,October-December,March-April,111 days,Telangana
Rice,Alluvial,500-1500 mm,29 - 40°C,Pulses,Bajra,June-July,September-October,110 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,28 - 42°C,Rice,Mustard,March-May,June-July,159 days,Punjab
Ragi,Red,400-1000 mm,29 - 33°C,Wheat,Ragi,October-December,March-April,146 days,Karnataka
Vegetables,Alluvial,500-1500 mm,19 - 42°C,Mustard,Cotton,March-May,June-July,101 days,Punjab
Rice,Alluvial,500-1500 mm,28 - 32°C,Bajra,Bajra,June-July,September-October,123 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,26 - 44°C,Millets,Sugarcane,October-December,March-April,154 days,Tamil Nadu
Cotton,Red,400-1000 mm,23 - 36°C,Cotton,Red Gram,June-July,September-October,166 days,Telangana
Groundnut,Black,600-1100 mm,27 - 40°C,Pulses,Rice,March-May,June-July,169 days,Karnataka
Sugarcane,Black,600-1100 mm,19 - 34°C,Groundnut,Rice,October-December,March-April,122 days,Karnataka
Millets,Red,400-1000 mm,29 - 39°C,Jowar,Wheat,March-May,June-July,101 days,Karnataka
Rice,Alluvial,500-1500 mm,30 - 41°C,Rice,Rice,June-July,September-October,136 days,Punjab
Sugarcane,Black,600-1100 mm,25 - 35°C,Pulses,Jowar,October-December,March-April,98 days,Karnataka
Rice,Black,600-1100 mm,18 - 42°C,Rice,Cotton,June-July,September-October,162 days,Telangana
Tea,Laterite,1500-3000 mm,28 - 35°C,Jowar,Jowar,June-July,September-October,156 days,Karnataka
Cashew,Laterite,1500-3000 mm,24 - 30°C,Ragi,Wheat,October-December,March-April,143 days,Karnataka
Vegetables,Alluvial,500-1500 mm,20 - 33°C,Cotton,Mustard,March-May,June-July,109 days,Punjab
Jowar,Black,600-1100 mm,18 - 39°C,Pulses,Groundnut,June-July,September-October,134 days,Andhra Pradesh
Jowar,Red,400-1000 mm,26 - 37°C,Rice,Red Gram,October-December,March-April,139 days,Telangana
Groundnut,Red,400-1000 mm,27 - 38°C,Bajra,Rice,March-May,June-July,170 days,Uttar Pradesh
Jowar,Red,400-1000 mm,27 - 30°C,Wheat,Pulses,June-July,September-October,155 days,Karnataka
Vegetables,Alluvial,500-1500 mm,19 - 35°C,Mustard,Rice,October-December,March-April,109 days,Punjab
Coffee,Laterite,1500-3000 mm,22 - 32°C,Millets,Millets,March-May,June-July,169 days,Tamil Nadu
Pulses,Red,400-1000 mm,18 - 40°C,Cotton,Bengal Gram,June-July,September-October,142 days,Telangana
Cotton,Red,400-1000 mm,27 - 35°C,Rice,Red Gram,June-July,September-October,109 days,Telangana
Sugarcane,Alluvial,500-1500 mm,28 - 38°C,Pulses,Wheat,June-July,September-October,111 days,Uttar Pradesh
Jowar,Black,600-1100 mm,20 - 39°C,Jowar,Cotton,March-May,June-July,126 days,Telangana
Groundnut,Red,400-1000 mm,18 - 42°C,Pulses,Rice,October-December,March-April,109 days,Tamil Nadu
Groundnut,Red,400-1000 mm,30 - 30°C,Millets,Sugarcane,October-December,March-April,140 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,27 - 39°C,Rice,Wheat,June-July,September-October,123 days,Punjab
Rice,Alluvial,500-1500 mm,19 - 38°C,Rice,Pulses,October-December,March-April,97 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,19 - 36°C,Bajra,Wheat,March-May,June-July,136 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,19 - 45°C,Bajra,Bajra,March-May,June-July,103 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,25 - 30°C,Red Gram,Cotton,June-July,September-October,101 days,Telangana
Vegetables,Alluvial,500-1500 mm,19 - 40°C,Rice,Rice,March-May,June-July,126 days,Punjab
Jowar,Red,400-1000 mm,29 - 31°C,Red Gram,Rice,March-May,June-July,150 days,Telangana
Cotton,Red,400-1000 mm,21 - 33°C,Rice,Pulses,March-May,June-July,115 days,Andhra Pradesh
Pulses,Red,400-1000 mm,29 - 42°C,Red Gram,Jowar,October-December,March-April,94 days,Telangana
Cotton,Black,600-1100 mm,26 - 33°C,Pulses,Pulses,March-May,June-July,128 days,Andhra Pradesh
Cotton,Black,600-1100 mm,28 - 34°C,Rice,Rice,March-May,June-July,107 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,24 - 30°C,Maize,Pulses,March-May,June-July,164 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,27 - 37°C,Rice,Wheat,March-May,June-July,97 days,Punjab
Jowar,Black,600-1100 mm,26 - 32°C,Jowar,Jowar,October-December,March-April,96 days,Telangana
Cotton,Black,600-1100 mm,27 - 44°C,Millets,Pulses,June-July,September-October,174 days,Andhra Pradesh
Millets,Red,400-1000 mm,22 - 30°C,Pulses,Pulses,March-May,June-July,176 days,Karnataka
Rice,Black,600-1100 mm,24 - 42°C,Maize,Rice,October-December,March-April,164 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,21 - 32°C,Barley,Rice,June-July,September-October,159 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,16 - 33°C,Jowar,Rice,June-July,September-October,163 days,Karnataka
Pulses,Red,400-1000 mm,18 - 43°C,Wheat,Rice,March-May,June-July,179 days,Uttar Pradesh
Cotton,Red,400-1000 mm,20 - 42°C,Red Gram,Jowar,June-July,September-October,145 days,Telangana
Ragi,Red,400-1000 mm,24 - 39°C,Rice,Jowar,October-December,March-April,146 days,Karnataka
Ragi,Red,400-1000 mm,22 - 33°C,Rice,Red Gram,March-May,June-July,152 days,Telangana
Spices,Laterite,1500-3000 mm,30 - 31°C,Pulses,Groundnut,March-May,June-July,94 days,Tamil Nadu
Sugarcane,Alluvial,500-1500 mm,28 - 33°C,Lentils,Wheat,March-May,June-July,162 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,30 - 30°C,Pulses,Millets,March-May,June-July,150 days,Tamil Nadu
Jowar,Black,600-1100 mm,24 - 31°C,Rice,Red Gram,October-December,March-April,112 days,Telangana
Jowar,Black,600-1100 mm,23 - 43°C,Pulses,Groundnut,June-July,September-October,100 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,28 - 35°C,Maize,Cotton,June-July,September-October,102 days,Punjab
Coffee,Laterite,1500-3000 mm,17 - 32°C,Wheat,Rice,June-July,September-October,98 days,Karnataka
Wheat,Alluvial,500-1500 mm,15 - 40°C,Pulses,Bajra,June-July,September-October,151 days,Uttar Pradesh
Millets,Red,400-1000 mm,19 - 34°C,Millets,Groundnut,June-July,September-October,124 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,21 - 43°C,Barley,Rice,March-May,June-July,159 days,Punjab
Sugarcane,Alluvial,500-1500 mm,27 - 41°C,Cotton,Cotton,March-May,June-July,162 days,Punjab
Jowar,Black,600-1100 mm,23 - 35°C,Millets,Groundnut,March-May,June-July,132 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,24 - 32°C,Pulses,Jowar,June-July,September-October,97 days,Karnataka
Jowar,Black,600-1100 mm,23 - 41°C,Red Gram,Rice,October-December,March-April,146 days,Telangana
Cashew,Laterite,1500-3000 mm,30 - 38°C,Pulses,Sugarcane,October-December,March-April,152 days,Tamil Nadu
Groundnut,Red,400-1000 mm,25 - 35°C,Pulses,Rice,October-December,March-April,105 days,Tamil Nadu
Groundnut,Red,400-1000 mm,27 - 34°C,Groundnut,Groundnut,June-July,September-October,102 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,20 - 36°C,Millets,Sugarcane,March-May,June-July,167 days,Tamil Nadu
Groundnut,Red,400-1000 mm,17 - 32°C,Rice,Wheat,June-July,September-October,139 days,Karnataka
Groundnut,Black,600-1100 mm,22 - 31°C,Rice,Wheat,March-May,June-July,133 days,Karnataka
Groundnut,Black,600-1100 mm,25 - 35°C,Groundnut,Groundnut,October-December,March-April,144 days,Andhra Pradesh
Pulses,Red,400-1000 mm,20 - 40°C,Lentils,Barley,October-December,March-April,140 days,Uttar Pradesh
Ragi,Red,400-1000 mm,23 - 34°C,Barley,Bajra,March-May,June-July,165 days,Uttar Pradesh
Millets,Red,400-1000 mm,25 - 39°C,Groundnut,Rice,October-December,March-April,102 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,22 - 41°C,Barley,Lentils,March-May,June-July,150 days,Uttar Pradesh
Ragi,Red,400-1000 mm,20 - 32°C,Rice,Maize,March-May,June-July,160 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,15 - 32°C,Cotton,Rice,March-May,June-July,138 days,Punjab
Jowar,Red,400-1000 mm,16 - 37°C,Red Gram,Rice,June-July,September-October,94 days,Telangana
Millets,Red,400-1000 mm,25 - 31°C,Sugarcane,Sugarcane,June-July,September-October,156 days,Tamil Nadu
Pulses,Red,400-1000 mm,18 - 36°C,Pulses,Wheat,March-May,June-July,116 days,Uttar Pradesh
Rice,Alluvial,500-1500 mm,19 - 32°C,Cotton,Barley,October-December,March-April,99 days,Punjab
Sugarcane,Alluvial,500-1500 mm,25 - 30°C,Maize,Wheat,October-December,March-April,104 days,Punjab
Sugarcane,Black,600-1100 mm,28 - 35°C,Groundnut,Maize,October-December,March-April,158 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,17 - 37°C,Groundnut,Rice,October-December,March-April,159 days,Tamil Nadu
Pulses,Red,400-1000 mm,25 - 38°C,Pulses,Wheat,June-July,September-October,103 days,Uttar Pradesh
Jowar,Black,600-1100 mm,22 - 31°C,Maize,Pulses,October-December,March-April,122 days,Andhra Pradesh
Rice,Black,600-1100 mm,29 - 42°C,Pulses,Pulses,October-December,March-April,179 days,Andhra Pradesh
Pulses,Red,400-1000 mm,17 - 37°C,Sugarcane,Sugarcane,March-May,June-July,156 days,Tamil Nadu
Cotton,Red,400-1000 mm,16 - 44°C,Jowar,Red Gram,March-May,June-July,94 days,Telangana
Millets,Red,400-1000 mm,24 - 30°C,Rice,Pulses,October-December,March-April,128 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,23 - 41°C,Rice,Pulses,June-July,September-October,109 days,Karnataka
Sugarcane,Alluvial,500-1500 mm,28 - 44°C,Bajra,Pulses,March-May,June-July,137 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,23 - 44°C,Groundnut,Groundnut,March-May,June-July,122 days,Tamil Nadu
Cotton,Red,400-1000 mm,15 - 32°C,Bengal Gram,Jowar,June-July,September-October,167 days,Telangana
Groundnut,Black,600-1100 mm,15 - 33°C,Pulses,Groundnut,June-July,September-October,177 days,Andhra Pradesh
Wheat,Alluvial,500-1500 mm,27 - 41°C,Mustard,Maize,October-December,March-April,92 days,Punjab
Vegetables,Alluvial,500-1500 mm,24 - 44°C,Maize,Wheat,October-December,March-April,111 days,Punjab
Maize,Alluvial,500-1500 mm,24 - 30°C,Barley,Bajra,October-December,March-April,171 days,Uttar Pradesh
Pulses,Red,400-1000 mm,26 - 35°C,Millets,Groundnut,March-May,June-July,122 days,Andhra Pradesh
Rice,Black,600-1100 mm,18 - 32°C,Rice,Pulses,March-May,June-July,165 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,22 - 45°C,Cotton,Mustard,October-December,March-April,160 days,Punjab
Vegetables,Alluvial,500-1500 mm,21 - 34°C,Barley,Bajra,June-July,September-October,163 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,29 - 35°C,Sugarcane,Rice,October-December,March-April,127 days,Tamil Nadu
Groundnut,Red,400-1000 mm,17 - 44°C,Millets,Sugarcane,October-December,March-April,91 days,Tamil Nadu
Oilseeds,Alluvial,500-1500 mm,18 - 42°C,Rice,Cotton,June-July,September-October,144 days,Punjab
Millets,Red,400-1000 mm,24 - 31°C,Pulses,Ragi,March-May,June-July,131 days,Karnataka
Rice,Black,600-1100 mm,28 - 41°C,Millets,Millets,June-July,September-October,170 days,Andhra Pradesh
Millets,Red,400-1000 mm,15 - 42°C,Sugarcane,Millets,June-July,September-October,175 days,Tamil Nadu
Rice,Black,600-1100 mm,27 - 40°C,Millets,Pulses,October-December,March-April,112 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,27 - 36°C,Rice,Red Gram,June-July,September-October,113 days,Telangana
Groundnut,Red,400-1000 mm,22 - 34°C,Maize,Maize,June-July,September-October,147 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,22 - 38°C,Barley,Cotton,October-December,March-April,151 days,Punjab
Sugarcane,Alluvial,500-1500 mm,26 - 44°C,Bajra,Pulses,March-May,June-July,175 days,Uttar Pradesh
Cotton,Red,400-1000 mm,15 - 35°C,Pulses,Wheat,June-July,September-October,102 days,Karnataka
Jowar,Black,600-1100 mm,30 - 44°C,Groundnut,Pulses,October-December,March-April,137 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,27 - 39°C,Jowar,Bengal Gram,March-May,June-July,178 days,Telangana
Millets,Red,400-1000 mm,26 - 32°C,Groundnut,Millets,March-May,June-July,136 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,25 - 42°C,Rice,Maize,March-May,June-July,125 days,Punjab
Ragi,Red,400-1000 mm,30 - 44°C,Barley,Barley,October-December,March-April,90 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,22 - 35°C,Rice,Ragi,October-December,March-April,125 days,Karnataka
Groundnut,Black,600-1100 mm,15 - 38°C,Maize,Groundnut,June-July,September-October,154 days,Andhra Pradesh
Rice,Black,600-1100 mm,21 - 43°C,Red Gram,Jowar,June-July,September-October,147 days,Telangana
Pulses,Red,400-1000 mm,28 - 33°C,Maize,Millets,October-December,March-April,109 days,Andhra Pradesh
Cotton,Red,400-1000 mm,23 - 42°C,Millets,Millets,June-July,September-October,116 days,Tamil Nadu
Cotton,Red,400-1000 mm,18 - 36°C,Rice,Pulses,March-May,June-July,161 days,Karnataka
Jowar,Black,600-1100 mm,25 - 38°C,Rice,Cotton,October-December,March-April,176 days,Telangana
Cotton,Red,400-1000 mm,19 - 41°C,Millets,Sugarcane,March-May,June-July,176 days,Tamil Nadu
Cotton,Red,400-1000 mm,19 - 35°C,Bengal Gram,Jowar,June-July,September-October,116 days,Telangana
Coffee,Laterite,1500-3000 mm,28 - 33°C,Rice,Ragi,June-July,September-October,171 days,Karnataka
Pulses,Red,400-1000 mm,24 - 45°C,Groundnut,Pulses,October-December,March-April,132 days,Tamil Nadu
Oilseeds,Alluvial,500-1500 mm,29 - 31°C,Pulses,Barley,March-May,June-July,98 days,Uttar Pradesh
Rice,Alluvial,500-1500 mm,15 - 37°C,Cotton,Rice,June-July,September-October,153 days,Punjab
Sugarcane,Black,600-1100 mm,29 - 35°C,Red Gram,Red Gram,March-May,June-July,177 days,Telangana
Cotton,Black,600-1100 mm,26 - 43°C,Jowar,Jowar,March-May,June-July,127 days,Telangana
Wheat,Alluvial,500-1500 mm,25 - 36°C,Barley,Barley,October-December,March-April,98 days,Uttar Pradesh
Oilseeds,Alluvial,500-1500 mm,29 - 38°C,Barley,Wheat,March-May,June-July,170 days,Uttar Pradesh
Sugarcane,Black,600-1100 mm,23 - 39°C,Pulses,Rice,October-December,March-April,122 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,24 - 35°C,Cotton,Mustard,June-July,September-October,103 days,Punjab
Millets,Red,400-1000 mm,21 - 44°C,Groundnut,Rice,June-July,September-October,172 days,Tamil Nadu
Cotton,Red,400-1000 mm,28 - 40°C,Pulses,Rice,March-May,June-July,167 days,Andhra Pradesh
Wheat,Alluvial,500-1500 mm,29 - 39°C,Rice,Barley,October-December,March-April,144 days,Punjab
Rice,Alluvial,500-1500 mm,20 - 33°C,Cotton,Mustard,June-July,September-October,105 days,Punjab
Jowar,Black,600-1100 mm,19 - 37°C,Wheat,Ragi,March-May,June-July,166 days,Karnataka
Groundnut,Black,600-1100 mm,23 - 39°C,Rice,Bengal Gram,March-May,June-July,164 days,Telangana
Cotton,Black,600-1100 mm,29 - 35°C,Red Gram,Red Gram,June-July,September-October,142 days,Telangana
Jowar,Red,400-1000 mm,19 - 39°C,Cotton,Jowar,March-May,June-July,119 days,Telangana
Maize,Alluvial,500-1500 mm,26 - 37°C,Mustard,Wheat,June-July,September-October,90 days,Punjab
Spices,Laterite,1500-3000 mm,21 - 34°C,Ragi,Rice,October-December,March-April,125 days,Karnataka
Cotton,Red,400-1000 mm,20 - 43°C,Pulses,Pulses,June-July,September-October,117 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,15 - 38°C,Rice,Maize,October-December,March-April,144 days,Punjab
Ragi,Red,400-1000 mm,25 - 45°C,Groundnut,Pulses,March-May,June-July,93 days,Karnataka
Pulses,Red,400-1000 mm,21 - 45°C,Groundnut,Pulses,March-May,June-July,106 days,Tamil Nadu
Wheat,Alluvial,500-1500 mm,16 - 33°C,Pulses,Wheat,October-December,March-April,96 days,Uttar Pradesh
Rice,Black,600-1100 mm,28 - 40°C,Groundnut,Groundnut,March-May,June-July,126 days,Andhra Pradesh
Pulses,Red,400-1000 mm,19 - 43°C,Rice,Rice,October-December,March-April,153 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,18 - 41°C,Wheat,Wheat,March-May,June-July,113 days,Karnataka
Maize,Alluvial,500-1500 mm,30 - 39°C,Rice,Bajra,October-December,March-April,140 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,23 - 41°C,Lentils,Pulses,March-May,June-July,155 days,Uttar Pradesh
Millets,Red,400-1000 mm,28 - 39°C,Rice,Rice,March-May,June-July,92 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,28 - 42°C,Maize,Rice,June-July,September-October,131 days,Punjab
Millets,Red,400-1000 mm,20 - 43°C,Rice,Millets,June-July,September-October,138 days,Tamil Nadu
Ragi,Red,400-1000 mm,27 - 44°C,Barley,Rice,October-December,March-April,169 days,Uttar Pradesh
Ragi,Red,400-1000 mm,15 - 33°C,Millets,Rice,March-May,June-July,120 days,Tamil Nadu
Wheat,Alluvial,500-1500 mm,29 - 44°C,Cotton,Maize,October-December,March-April,90 days,Punjab
Sugarcane,Alluvial,500-1500 mm,24 - 30°C,Cotton,Wheat,March-May,June-July,150 days,Punjab
Coffee,Laterite,1500-3000 mm,24 - 43°C,Pulses,Pulses,March-May,June-July,114 days,Karnataka
Wheat,Alluvial,500-1500 mm,26 - 42°C,Rice,Rice,October-December,March-April,173 days,Punjab
Cotton,Black,600-1100 mm,24 - 36°C,Rice,Rice,June-July,September-October,106 days,Telangana
Pulses,Red,400-1000 mm,27 - 43°C,Barley,Lentils,June-July,September-October,94 days,Uttar Pradesh
Pulses,Red,400-1000 mm,21 - 34°C,Millets,Pulses,June-July,September-October,176 days,Andhra Pradesh
Ragi,Red,400-1000 mm,20 - 32°C,Rice,Rice,March-May,June-July,157 days,Tamil Nadu
Pulses,Red,400-1000 mm,28 - 34°C,Rice,Bajra,March-May,June-July,94 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,20 - 32°C,Groundnut,Jowar,October-December,March-April,98 days,Karnataka
